thr setup speedup eff pps
1 30.3470 1.0000 100.00 1822.2
2 15.1030 2.0093 100.47 1830.6
4 7.7230 3.9294 98.24 1790.0
8 4.0210 7.5471 94.34 1719.1
16 2.1770 13.9398 87.12 1587.3
32 1.1670 26.0043 81.26 1480.2
64 0.6920 43.8540 68.52 1248.8
128 0.3870 78.4160 61.26 1115.9
