thr setup speedup eff
1 30.9450 1.0000 100.00
2 15.4340 2.0050 100.25
4 7.8390 3.9476 98.69
8 4.0450 7.6502 95.63
16 2.2210 13.9329 87.08
32 1.2070 25.6379 80.12
64 0.6860 45.1093 70.48
128 0.4130 74.9274 58.54
