thr setup speedup eff pps
1 8.7640 1.0000 100.00 6309.5
2 4.3970 1.9932 99.66 6287.4
4 2.2090 3.9674 99.19 6258.4
8 1.1160 7.8530 98.16 6192.9
16 0.5770 15.1889 94.93 5985.5
32 0.3370 26.0059 81.27 5123.5
64 0.1770 49.5141 77.37 4890.9
