thr setup speedup eff pps
1 9.5460 1.0000 100.00 5792.7
2 4.8090 1.9850 99.25 5749.3
4 2.4020 3.9742 99.35 5754.6
8 1.2160 7.8503 98.13 5686.1
16 0.6130 15.5726 97.33 5636.6
32 0.3170 30.1136 94.10 5453.9
64 0.1670 57.1617 89.32 5180.1
96 0.1210 78.8926 82.18 4766.3
