thr setup speedup eff pps
1 18.1170 1.0000 100.00 3052.2
2 9.2250 1.9639 98.20 2997.1
4 4.6260 3.9163 97.91 2988.6
8 2.3380 7.7489 96.86 2956.3
16 1.1790 15.3664 96.04 2930.4
32 0.6050 29.9455 93.58 2855.1
64 0.3160 57.3323 89.58 2732.5
96 0.2230 81.2422 84.63 2586.7
