thr setup speedup eff pps
1 15.5750 1.0000 100.00 3550.3
2 8.0160 1.9430 97.15 3449.0
4 4.0870 3.8109 95.27 3382.7
8 2.0610 7.5570 94.46 3353.2
16 1.0830 14.3813 89.88 3192.6
32 0.5620 27.7135 86.60 3074.8
64 0.3340 46.6317 72.86 2584.9
128 0.1880 82.8457 64.72 2293.5
